game_year,pitcher,name,is_cohort,coverage,role,n,velo,ivb_in,spin,whiff_rate,rv100,shape_grade,results_grade,ff_elite_composite,efc_score,archetype_tier
2020,621111,Walker Buehler,False,COMPLETE,SP,323,96.8176,19.2825,2546.0093,0.2609,3.6972,65.0,65.0,65.0,65.057,ELITE
2026,680742,Jonathan Bowlan,True,COMPLETE,RP,467,97.0388,18.0331,2410.6338,0.3704,2.2711,60.0,75.0,70.0,65.0013,ELITE
2018,621111,Walker Buehler,False,COMPLETE,SP,847,96.2105,17.8558,2415.2373,0.3048,1.4054,60.0,70.0,65.0,63.6386,ELITE
2022,675911,Spencer Strider,False,COMPLETE,SP,1525,98.1629,17.7081,2342.6719,0.2773,1.345,60.0,70.0,65.0,63.6077,ELITE
2021,605447,Jordan Romano,False,COMPLETE,RP,642,97.5894,18.1948,2389.9953,0.2888,1.8537,60.0,65.0,65.0,63.4958,ELITE
2019,621111,Walker Buehler,False,COMPLETE,SP,1505,96.5393,17.5968,2456.2326,0.2465,1.447,60.0,65.0,65.0,63.2244,ELITE
2023,554430,Zack Wheeler,True,COMPLETE,SP,1370,95.7924,15.2826,2494.5292,0.3139,1.2071,55.0,70.0,65.0,62.43,RESULTS-ONLY
2024,656546,Jeff Hoffman,False,COMPLETE,RP,391,96.646,17.0863,2592.892,0.3081,1.3524,60.0,65.0,65.0,61.8971,ELITE
2025,695505,Chase Burns,False,PARTIAL,SP,113,98.5354,18.6584,2635.7257,0.3276,0.223,70.0,55.0,65.0,61.5317,SHAPE-ONLY
2021,656322,Sam Coonrod,False,COMPLETE,RP,139,98.5331,15.9574,2282.1007,0.4419,1.3561,55.0,65.0,60.0,60.9555,RESULTS-ONLY
2024,686752,Ryan Pepiot,False,COMPLETE,SP,1084,94.9094,19.4222,2379.4834,0.3138,0.7293,55.0,65.0,60.0,60.9484,RESULTS-ONLY
2023,675911,Spencer Strider,False,COMPLETE,SP,1826,97.2482,18.4009,2362.2297,0.2873,0.401,60.0,65.0,65.0,60.5947,ELITE
2018,641341,MLBAM 641341,False,PARTIAL,RP,110,96.5073,18.4516,2693.8909,0.2381,1.9618,70.0,55.0,65.0,60.5123,SHAPE-ONLY
2026,661395,Jhoan Duran,True,COMPLETE,RP,241,100.4386,13.2901,2075.7718,0.4341,3.2531,50.0,75.0,65.0,60.4263,RESULTS-ONLY
2018,518886,Craig Kimbrel,False,COMPLETE,RP,718,97.0708,15.6105,2356.1379,0.3333,0.5224,55.0,65.0,60.0,60.3603,RESULTS-ONLY
