board,cand_rank,ungoverned_rank,game_year,pitcher,name,is_cohort,frame,coverage,role,games,n,swings,thin,velo,ivb_in,spin,whiff_rate,rv100,whiff_rate_final,rv100_final,shape_grade,results_grade,ff_elite_composite,efc_score,efc_score_ungoverned,archetype_tier
RANKED,1.0,3.0,2025,660271,Shohei Ohtani,False,TEAM,COMPLETE,SP,14,291,149,False,98.4234,14.5175,2467.1409,0.2416,2.999,0.234,0.3758,55.0,60.0,60.0,58.5418,58.6513,RESULTS-ONLY
RANKED,2.0,1.0,2025,656629,Michael Kopech,False,TEAM,COMPLETE,RP,14,191,78,False,97.4503,17.9378,2624.541,0.2436,0.577,0.231,-0.1929,65.0,55.0,60.0,58.5042,59.8916,SHAPE-ONLY
RANKED,3.0,2.0,2025,656302,Dylan Cease,False,INCIDENTAL,PARTIAL,SP,4,182,81,False,97.3511,18.0653,2577.0659,0.2716,-0.0505,0.2479,-0.2887,65.0,55.0,60.0,58.1637,59.5814,SHAPE-ONLY
RANKED,4.0,4.0,2025,676508,Ben Casparius,False,TEAM,COMPLETE,RP,43,384,180,False,96.1435,17.8891,2434.7708,0.3333,-0.6456,0.3049,-0.4116,60.0,60.0,60.0,57.3748,58.1552,ELITE
RANKED,5.0,8.0,2026,695505,Chase Burns,False,VS_PHI,PARTIAL,SP,3,118,47,False,98.122,18.658,2689.7542,0.0851,0.2746,0.155,-0.2694,70.0,45.0,60.0,55.8745,56.2717,SHAPE-ONLY
RANKED,6.0,9.0,2025,686218,Emmet Sheehan,False,TEAM,COMPLETE,SP,15,536,275,False,95.6213,17.8766,2444.0448,0.2655,-0.3097,0.2567,-0.3224,55.0,55.0,55.0,55.2318,55.9955,NOT ELITE
RANKED,7.0,7.0,2025,690953,Mick Abel,False,PHI,COMPLETE,SP,8,235,123,False,96.3179,16.3797,2538.4255,0.2602,-0.3443,0.2456,-0.3314,60.0,55.0,60.0,55.2077,56.3502,SHAPE-ONLY
RANKED,8.0,5.0,2025,694973,Paul Skenes,False,VS_PHI,PARTIAL,SP,4,158,80,False,98.1892,11.6613,2235.6266,0.3625,2.9582,0.3011,0.0896,45.0,65.0,55.0,54.8695,57.3901,RESULTS-ONLY
RANKED,9.0,10.0,2025,642547,Freddy Peralta,False,INCIDENTAL,PARTIAL,SP,6,160,60,False,95.4231,16.9492,2462.2312,0.2,2.2988,0.2066,0.0094,55.0,55.0,55.0,54.2234,55.9886,NOT ELITE
RANKED,10.0,13.0,2025,607192,Tyler Glasnow,False,TEAM,COMPLETE,SP,18,524,245,False,95.7296,16.4194,2529.5897,0.1878,0.638,0.1926,-0.0136,55.0,50.0,55.0,54.0518,54.4936,NOT ELITE
RANKED,11.0,11.0,2025,694361,Will Klein,False,TEAM,COMPLETE,RP,14,175,74,False,97.9194,17.2587,2215.3429,0.2703,0.396,0.2458,-0.2279,55.0,55.0,55.0,53.8411,55.4418,NOT ELITE
RANKED,12.0,6.0,2025,664747,Alexis Díaz,False,TEAM,COMPLETE,RP,10,105,50,False,93.8657,15.6571,2585.3429,0.24,2.1095,0.226,-0.1133,55.0,55.0,55.0,53.7128,56.4001,NOT ELITE
RANKED,13.0,25.0,2025,808967,Yoshinobu Yamamoto,False,TEAM,COMPLETE,SP,30,994,392,False,95.3674,15.9546,2200.494,0.1913,1.7002,0.1941,0.642,45.0,60.0,55.0,53.6311,51.0933,RESULTS-ONLY
RANKED,14.0,12.0,2025,669194,Ryne Nelson,False,INCIDENTAL,PARTIAL,SP,8,197,108,False,95.7893,18.932,2247.0914,0.1481,3.9426,0.1705,0.3284,55.0,55.0,55.0,53.6047,55.2,NOT ELITE
RANKED,15.0,17.0,2025,489446,Kirby Yates,False,TEAM,COMPLETE,RP,49,440,241,False,92.7541,13.7858,2328.4509,0.3527,0.2052,0.3264,-0.1745,45.0,60.0,55.0,52.8674,52.6509,RESULTS-ONLY
RANKED,16.0,14.0,2025,672578,Carlos Hernández,False,PHI,COMPLETE,RP,27,243,132,False,97.8457,17.72,2422.9177,0.1515,-0.3255,0.17,-0.3281,60.0,45.0,55.0,52.2671,53.6286,SHAPE-ONLY
RANKED,17.0,16.0,2025,669160,Dustin May,False,TEAM,COMPLETE,SP,18,263,128,False,95.5224,12.5457,2348.3764,0.2656,1.5209,0.2498,0.0326,45.0,60.0,55.0,51.8808,52.6738,RESULTS-ONLY
RANKED,18.0,18.0,2025,592791,Jameson Taillon,False,FILE,COMPLETE,SP,6,220,103,False,92.6314,18.2127,2309.3909,0.2039,1.8268,0.2073,0.0351,50.0,55.0,55.0,51.2772,52.5297,NOT ELITE
RANKED,19.0,20.0,2025,694477,Chad Patrick,False,FILE,COMPLETE,SP,15,263,130,False,93.8042,16.7995,2323.289,0.2462,0.1909,0.2363,-0.2272,50.0,55.0,55.0,51.0842,52.1955,NOT ELITE
RANKED,20.0,19.0,2025,601713,Nick Pivetta,False,VS_PHI,PARTIAL,SP,5,163,77,False,93.8982,19.7956,2339.9877,0.1818,-0.1871,0.1952,-0.3101,55.0,50.0,55.0,51.044,52.2369,NOT ELITE
RANKED,21.0,15.0,2025,686752,Ryan Pepiot,False,FILE,COMPLETE,SP,9,302,147,False,94.8709,19.5564,2400.6821,0.2109,-1.8278,0.2116,-0.6554,60.0,45.0,55.0,50.9945,52.7667,SHAPE-ONLY
RANKED,22.0,21.0,2025,434378,Justin Verlander,False,TEAM,COMPLETE,SP,8,246,124,False,94.3496,18.7595,2431.9634,0.1774,-0.8049,0.1887,-0.4168,55.0,45.0,50.0,50.7467,52.1311,NOT ELITE
RANKED,23.0,24.0,2025,686701,Ryan Bergert,False,VS_PHI,PARTIAL,SP,3,100,52,False,93.399,18.618,2413.45,0.1923,-0.931,0.2034,-0.3795,55.0,50.0,55.0,50.6256,51.4087,NOT ELITE
RANKED,24.0,22.0,2025,605447,Jordan Romano,False,PHI,COMPLETE,RP,48,258,94,False,95.4795,17.9065,2268.2946,0.266,-1.9143,0.2464,-0.6336,50.0,50.0,50.0,50.4757,52.0878,NOT ELITE
RANKED,25.0,23.0,2025,694297,Brandon Pfaadt,False,INCIDENTAL,PARTIAL,SP,7,120,52,False,93.6842,15.656,2570.3613,0.1346,1.1642,0.1756,-0.1798,55.0,45.0,50.0,50.4439,51.6435,NOT ELITE
RANKED,26.0,26.0,2025,689017,Landon Knack,False,TEAM,COMPLETE,SP,10,375,175,False,93.0875,19.0362,2401.5493,0.1543,-0.4789,0.1687,-0.3673,55.0,45.0,50.0,48.897,50.5757,NOT ELITE
RANKED,27.0,27.0,2025,801403,Chase Dollander,False,INCIDENTAL,PARTIAL,UNK,5,127,61,False,98.4268,11.4227,2441.9528,0.1475,-0.2102,0.1792,-0.3162,50.0,50.0,50.0,48.7459,49.5567,NOT ELITE
RANKED,28.0,29.0,2025,675911,Spencer Strider,False,VS_PHI,PARTIAL,SP,4,199,97,False,95.3844,17.0937,2271.6281,0.134,0.1487,0.1632,-0.2546,50.0,45.0,50.0,48.1045,49.3252,NOT ELITE
RANKED,29.0,47.0,2025,669199,MLBAM 669199,False,INCIDENTAL,PARTIAL,RP,35,101,70,False,95.002,18.524,2722.0198,0.0571,-7.7376,0.1268,-0.9603,65.0,30.0,50.0,48.0953,44.7993,SHAPE-ONLY
RANKED,30.0,28.0,2026,641816,Tyler Mahle,False,VS_PHI,PARTIAL,SP,4,175,66,False,92.9543,17.2793,2324.0914,0.197,-0.6451,0.2046,-0.3727,50.0,50.0,50.0,48.0371,49.4182,NOT ELITE
RANKED,31.0,30.0,2025,664062,Tony Gonsolin,False,TEAM,COMPLETE,SP,7,245,115,False,93.5012,16.5757,2235.7633,0.2348,-0.8155,0.2278,-0.4184,45.0,50.0,50.0,47.9504,49.2904,NOT ELITE
RANKED,32.0,43.0,2025,691587,MLBAM 691587,False,INCIDENTAL,PARTIAL,UNK,20,106,99,False,97.8717,17.6819,2687.2453,0.0202,-6.9368,0.0902,-0.9175,65.0,30.0,50.0,47.7632,45.572,SHAPE-ONLY
RANKED,33.0,33.0,2025,668678,Zac Gallen,False,INCIDENTAL,PARTIAL,SP,6,139,46,False,94.3489,17.1643,2320.9568,0.1304,-1.0806,0.1761,-0.4141,50.0,45.0,50.0,47.5673,47.7544,NOT ELITE
RANKED,34.0,32.0,2025,669422,Matt Sauer,False,TEAM,COMPLETE,RP,10,112,57,False,94.15,16.3671,2183.125,0.193,-0.6402,0.2032,-0.3578,45.0,50.0,50.0,46.8208,47.8227,NOT ELITE
RANKED,35.0,31.0,2025,700363,AJ Smith-Shawver,False,FILE,COMPLETE,SP,9,331,153,False,95.606,16.0989,2103.3927,0.1699,0.2628,0.1817,-0.1902,45.0,50.0,50.0,46.7911,47.9901,NOT ELITE
RANKED,36.0,35.0,2025,676962,Ben Brown,False,INCIDENTAL,PARTIAL,SP,7,187,73,False,95.6845,17.151,2218.4492,0.1781,-2.6519,0.1935,-0.6706,50.0,45.0,50.0,46.5836,47.4295,NOT ELITE
RANKED,37.0,39.0,2026,656550,Grant Holmes,False,VS_PHI,PARTIAL,SP,6,116,54,False,94.475,15.8307,2309.431,0.1296,-0.7716,0.1724,-0.3715,50.0,45.0,50.0,46.3756,47.0071,NOT ELITE
RANKED,38.0,36.0,2025,605452,Joe Ross,False,PHI,COMPLETE,RP,37,321,154,False,94.1969,11.0867,2217.8411,0.2727,-0.195,0.2569,-0.2981,40.0,55.0,50.0,46.3626,47.3671,NOT ELITE
RANKED,39.0,34.0,2025,700669,Gordon Graceffo,False,FILE,COMPLETE,RP,26,322,165,False,95.6776,16.036,2083.646,0.1758,-0.1994,0.1854,-0.299,45.0,50.0,50.0,46.0468,47.4592,NOT ELITE
RANKED,40.0,37.0,2025,607067,Colin Rea,False,FILE,COMPLETE,SP,9,183,88,False,93.8131,14.4597,2187.0273,0.2159,-0.3235,0.215,-0.3279,45.0,50.0,50.0,45.9419,47.2501,NOT ELITE
RANKED,41.0,41.0,2025,695418,Brad Lord,False,FILE,COMPLETE,SP,13,240,139,False,95.0387,10.079,2284.6208,0.2302,0.0438,0.2254,-0.2611,40.0,50.0,45.0,45.7602,46.9449,NOT ELITE
RANKED,42.0,38.0,2025,669467,Andre Pallante,False,FILE,COMPLETE,SP,4,147,69,False,94.0211,10.6482,2271.2449,0.1884,2.119,0.1997,-0.0363,40.0,50.0,45.0,45.3713,47.2494,NOT ELITE
RANKED,43.0,40.0,2025,608566,German Marquez,False,INCIDENTAL,PARTIAL,SP,7,121,66,False,95.2579,13.9527,2213.0661,0.0758,2.738,0.1391,-0.0206,45.0,45.0,45.0,45.2095,46.9843,NOT ELITE
RANKED,44.0,46.0,2025,663623,Jake Irvin,False,INCIDENTAL,PARTIAL,SP,6,114,51,False,92.1947,15.3411,2322.3158,0.1961,-2.7623,0.2053,-0.5603,45.0,50.0,50.0,45.0137,45.0746,NOT ELITE
RANKED,45.0,48.0,2025,518876,Merrill Kelly,False,FILE,COMPLETE,SP,10,180,77,False,91.7211,15.3027,2369.8278,0.1818,-2.79,0.1952,-0.6793,45.0,45.0,45.0,43.932,44.7607,NOT ELITE
