arm,game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier,cohort_rank_in_population
Alex McFarlane,2026,686934,Alex McFarlane,True,True,True,PHI,COMPLETE,RP,15.0,16,94,53,21,0.3884,True,False,99.9606,14.9209,2572.8617,6.3223,-9.8106,0.3019,1.3394,0.3041,99.9606,14.9209,2572.8617,0.2565,-0.1955,70.0,45.0,70.0,60.0,50.0,2.1643,-0.3303,1.8369,0.8111,0.1848,60.0,55.0,62.2363,54.9794,True,False,False,60.0,58.6078,SHAPE-ONLY,31
Andrew Painter,2026,691725,Andrew Painter,True,True,True,PHI,COMPLETE,SP,86.0,24,665,331,183,0.3271,False,True,96.6024,16.5954,2315.585,6.5198,-2.2271,0.1601,-1.9632,0.3929,96.6024,16.5954,2315.585,0.1679,-0.9503,55.0,55.0,50.0,40.0,35.0,0.5628,0.4275,-0.0634,-0.9557,-1.7456,55.0,40.0,53.0895,36.4933,False,False,False,50.0,44.7914,NOT ELITE,339
Jhoan Duran,2022,661395,Jhoan Duran,True,True,False,FILE,COMPLETE,RP,16.0,57,504,291,110,0.4927,False,True,100.8175,14.0629,2173.5119,6.2208,-11.6631,0.2577,1.3768,0.2493,101.4725,14.0629,2206.5394,0.2506,0.2128,80.0,45.0,40.0,55.0,60.0,2.8852,-0.7186,-0.8689,0.6936,1.2291,55.0,60.0,54.3258,59.6132,False,True,False,60.0,56.9695,RESULTS-ONLY,52
Jhoan Duran,2023,661395,Jhoan Duran,True,True,False,FILE,COMPLETE,RP,17.0,58,456,258,93,0.4484,False,True,101.8147,13.7424,2097.7763,6.5386,-10.6924,0.3566,0.5774,0.3065,102.306,13.7424,2122.547,0.3311,-0.0603,80.0,40.0,35.0,75.0,55.0,3.2827,-0.8636,-1.4893,2.2975,0.5307,50.0,65.0,52.157,64.1408,False,True,False,60.0,58.1489,RESULTS-ONLY,36
Jhoan Duran,2024,661395,Jhoan Duran,True,True,False,FILE,COMPLETE,RP,15.0,56,359,180,81,0.4075,False,True,100.461,12.2497,2035.4429,6.3588,-12.3052,0.3611,-0.2579,0.2823,100.7885,12.2497,2051.9567,0.3261,-0.3111,75.0,35.0,30.0,70.0,50.0,2.559,-1.5391,-2.0107,2.198,-0.1107,45.0,60.0,46.6975,60.4365,False,True,False,55.0,53.567,RESULTS-ONLY,108
Jhoan Duran,2025,661395,Jhoan Duran,True,True,False,FILE,COMPLETE,RP,14.0,67,377,210,90,0.3514,False,True,100.5682,12.6337,2107.1751,6.2085,-13.2388,0.3286,1.4918,0.2823,100.7319,12.6337,2115.432,0.3043,0.1412,75.0,35.0,35.0,70.0,60.0,2.5321,-1.3653,-1.5419,1.7648,1.0461,50.0,65.0,48.7497,64.0547,False,True,False,60.0,56.4022,RESULTS-ONLY,62
Jhoan Duran,2026,661395,Jhoan Duran,True,True,True,PHI,COMPLETE,RP,16.0,54,241,129,59,0.2675,False,True,100.4386,13.2901,2075.7718,6.0548,-12.8435,0.4341,3.2531,0.2034,100.4386,13.2901,2075.7718,0.3673,0.323,75.0,40.0,30.0,80.0,65.0,2.3922,-1.0682,-1.8348,3.0197,1.5111,50.0,75.0,48.2971,72.5554,False,True,False,65.0,60.4263,RESULTS-ONLY,14
Jonathan Bowlan,2025,680742,Jonathan Bowlan,True,True,False,FILE,COMPLETE,RP,19.5,34,243,124,44,0.3343,False,True,95.5292,17.6711,2345.2222,6.684,-7.9669,0.4355,0.1095,0.3486,95.693,17.6711,2353.4791,0.3664,-0.2484,50.0,60.0,50.0,80.0,50.0,0.1291,0.9143,0.2165,3.0016,0.0495,55.0,65.0,54.1996,65.2477,False,True,False,60.0,59.7236,RESULTS-ONLY,20
Jonathan Bowlan,2026,680742,Jonathan Bowlan,True,True,True,PHI,COMPLETE,RP,17.0,59,467,243,94,0.4829,False,True,97.0388,18.0331,2410.6338,6.6559,-7.875,0.3704,2.2711,0.1932,97.0388,18.0331,2410.6338,0.341,0.4543,60.0,60.0,55.0,75.0,70.0,0.7709,1.0781,0.6386,2.4952,1.8469,60.0,75.0,58.2922,71.7104,True,True,True,70.0,65.0013,ELITE,2
Seranthony Domínguez,2018,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,16.0,53,557,246,84,0.5983,False,True,97.9858,12.4281,2338.3824,6.246,-1.0167,0.2683,1.2894,0.34,99.2958,12.4281,2404.4375,0.2581,0.2207,70.0,35.0,55.0,60.0,60.0,1.8472,-1.4583,0.5929,0.8439,1.2494,55.0,60.0,53.2725,60.4661,False,True,False,60.0,56.8693,RESULTS-ONLY,54
Seranthony Domínguez,2019,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,16.0,27,277,132,41,0.597,False,True,97.2989,12.9994,2380.4152,6.0679,-2.3311,0.2955,0.1487,0.3344,98.4452,12.9994,2438.2134,0.271,-0.2315,65.0,40.0,60.0,60.0,50.0,1.4416,-1.1998,0.8423,1.1012,0.0929,55.0,55.0,53.6137,55.9701,False,False,False,55.0,54.7919,NOT ELITE,85
Seranthony Domínguez,2022,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,14.5,49,309,148,32,0.3755,False,True,97.6366,13.9441,2357.1812,6.2307,-3.1542,0.3581,0.6201,0.3048,98.2916,13.9441,2390.2088,0.3184,-0.1181,65.0,40.0,55.0,70.0,55.0,1.3683,-0.7723,0.4878,2.0451,0.3827,55.0,65.0,53.6126,62.1387,False,True,False,60.0,57.8757,RESULTS-ONLY,39
Seranthony Domínguez,2023,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,14.0,55,336,177,53,0.3912,False,True,97.5006,15.0907,2354.2381,6.5625,-4.0632,0.3107,-0.3479,0.3705,97.9919,15.0907,2379.0087,0.2874,-0.3332,60.0,45.0,55.0,65.0,50.0,1.2254,-0.2534,0.405,1.4264,-0.1674,55.0,60.0,54.59,56.2951,False,True,False,60.0,55.4426,RESULTS-ONLY,74
Seranthony Domínguez,2024,622554,Seranthony Domínguez,True,False,True,PHI,COMPLETE,RP,16.0,39,263,116,55,0.4003,False,True,97.4817,14.1846,2386.229,6.5401,-4.5308,0.2069,0.7034,0.2974,97.8093,14.1846,2402.7428,0.2091,-0.1271,60.0,45.0,55.0,50.0,55.0,1.1383,-0.6634,0.5803,-0.1341,0.3598,55.0,55.0,53.5174,51.1287,False,False,False,55.0,52.3231,NOT ELITE,143
Zack Wheeler,2018,554430,Zack Wheeler,True,True,False,FILE,COMPLETE,SP,100.0,29,1255,612,205,0.4352,False,True,95.7589,16.001,2306.6462,6.9073,-9.5224,0.2337,1.1797,0.3544,97.0689,16.001,2372.7013,0.232,0.4808,60.0,50.0,55.0,55.0,70.0,0.7853,0.1585,0.3584,0.3223,1.9146,55.0,65.0,54.3408,61.1846,False,True,False,60.0,57.7627,RESULTS-ONLY,41
Zack Wheeler,2019,554430,Zack Wheeler,True,True,False,FILE,COMPLETE,SP,103.0,31,947,456,120,0.2998,False,True,96.7921,15.5311,2340.8087,6.8437,-10.4958,0.2697,0.7201,0.3691,97.9383,15.5311,2398.6069,0.2636,0.1604,60.0,50.0,55.0,60.0,60.0,1.1999,-0.0541,0.5498,0.9525,1.0952,55.0,60.0,55.6518,60.2387,False,True,False,60.0,57.9452,RESULTS-ONLY,38
Zack Wheeler,2020,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,98.0,11,472,258,99,0.4378,False,True,96.9439,14.0949,2333.7394,7.153,-5.9502,0.2016,1.2475,0.3424,97.9264,14.0949,2383.2807,0.2037,0.1496,60.0,45.0,55.0,50.0,60.0,1.1942,-0.704,0.4366,-0.2413,1.0674,55.0,55.0,53.089,54.1305,False,False,False,55.0,53.6097,NOT ELITE,105
Zack Wheeler,2021,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,100.0,32,1359,694,195,0.424,False,True,97.176,15.914,2388.2975,7.1977,-7.6494,0.2594,1.0149,0.3552,97.9948,15.914,2429.5819,0.2559,0.4189,60.0,50.0,60.0,60.0,70.0,1.2268,0.1192,0.7786,0.8001,1.7563,55.0,65.0,57.0817,62.782,False,True,False,60.0,59.9319,RESULTS-ONLY,16
Zack Wheeler,2022,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,96.0,26,998,499,146,0.4232,False,True,95.9205,16.2107,2391.5752,7.285,-9.221,0.2866,1.0787,0.3946,96.5756,16.2107,2424.6027,0.2792,0.3461,55.0,55.0,55.0,65.0,65.0,0.55,0.2534,0.7418,1.2637,1.57,55.0,65.0,55.1507,64.1689,False,True,False,60.0,59.6598,RESULTS-ONLY,22
Zack Wheeler,2023,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,100.0,32,1370,720,197,0.4342,False,True,95.7924,15.2826,2494.5292,7.2536,-6.2933,0.3139,1.2071,0.3501,96.2837,15.2826,2519.2998,0.3066,0.5288,55.0,50.0,65.0,70.0,70.0,0.4108,-0.1666,1.4413,1.8108,2.0375,55.0,70.0,55.6183,69.2417,False,True,False,65.0,62.43,RESULTS-ONLY,7
Zack Wheeler,2024,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,98.0,32,1298,678,287,0.4142,False,True,95.2673,14.6315,2430.7974,7.2409,-9.5412,0.2965,1.252,0.3062,95.5948,14.6315,2447.3111,0.2901,0.5328,50.0,45.0,60.0,65.0,70.0,0.0823,-0.4612,0.9095,1.4816,2.0477,50.0,70.0,51.7688,67.6467,False,True,False,60.0,59.7077,RESULTS-ONLY,21
Zack Wheeler,2025,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,101.5,24,981,522,212,0.4098,False,True,96.0726,14.6944,2470.4037,7.2771,-10.1387,0.3046,1.1354,0.2788,96.2363,14.6944,2478.6606,0.2958,0.367,55.0,45.0,60.0,65.0,65.0,0.3882,-0.4327,1.1411,1.5941,1.6235,55.0,65.0,53.6553,66.0879,False,True,False,60.0,59.8716,RESULTS-ONLY,17
Zack Wheeler,2026,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,97.5,26,877,442,197,0.3578,False,True,95.2166,14.0826,2432.7948,7.2397,-11.4837,0.3032,0.9363,0.2795,95.2166,14.0826,2432.7948,0.2931,0.2372,50.0,45.0,60.0,65.0,65.0,-0.098,-0.7096,0.8023,1.5405,1.2915,50.0,65.0,49.9821,64.1598,False,True,False,60.0,57.071,RESULTS-ONLY,51
