pitcher,pitcher_name,name_tier,name_display
543045,Adam Conley,T2_des,Adam Conley
400085,,UNRESOLVED,MLBAM 400085
516589,,UNRESOLVED,MLBAM 516589
570632,"Ureña, José",T1_keyed,José Ureña
543408,Tom Koehler,T2_des,Tom Koehler
592593,Justin Nicolino,T2_des,Justin Nicolino
573109,AJ Ramos,T2_des,AJ Ramos
612272,,UNRESOLVED,MLBAM 612272
623395,Brian Ellington,T2_des,Brian Ellington
457768,Bryan Morris,T2_des,Bryan Morris
429780,Chris Narveson,T2_des,Chris Narveson
543219,Sean Gilmartin,T2_des,Sean Gilmartin
431162,,UNRESOLVED,MLBAM 431162
516714,,UNRESOLVED,MLBAM 516714
544727,"Familia, Jeurys",T1_keyed,Jeurys Familia
548337,Logan Verrett,T2_des,Logan Verrett
461325,Tyler Clippard,T2_des,Tyler Clippard
570663,Hansel Robles,T2_des,Hansel Robles
592665,Addison Reed,T2_des,Addison Reed
458730,Bobby Parnell,T2_des,Bobby Parnell
448614,Carlos Torres,T2_des,Carlos Torres
477003,Jonathon Niese,T2_des,Jonathon Niese
592340,,UNRESOLVED,MLBAM 592340
112526,"Colon, Bartolo",T1_keyed,Bartolo Colon
461829,Gio Gonzalez,T2_des,Gio Gonzalez
449097,"Papelbon, Jonathan",T1_keyed,Jonathan Papelbon
519301,Sammy Solis,T2_des,Sammy Solis
450729,Doug Fister,T2_des,Doug Fister
445163,,UNRESOLVED,MLBAM 445163
514669,,UNRESOLVED,MLBAM 514669
594840,Matt Grace,T2_des,Matt Grace
553878,Felipe Vazquez,T2_des,Felipe Vazquez
544931,Stephen Strasburg,T2_des,Stephen Strasburg
595014,"Treinen, Blake",T1_keyed,Blake Treinen
407819,Matt Thornton,T2_des,Matt Thornton
519455,Jordan Zimmermann,T2_des,Jordan Zimmermann
543054,Jarred Cosart,T2_des,Jarred Cosart
445197,Mike Dunn,T2_des,Mike Dunn
607457,Kyle Barraclough,T2_des,Kyle Barraclough
527054,Julio Teheran,T2_des,Julio Teheran
493247,Peter Moylan,T2_des,Peter Moylan
543901,Ryan Weber,T2_des,Ryan Weber
527055,Arodys Vizcaino,T2_des,Arodys Vizcaino
429719,Edwin Jackson,T2_des,Edwin Jackson
554234,Williams Perez,T2_des,Williams Perez
605374,Andrew McKirahan,T2_des,Andrew McKirahan
621408,,UNRESOLVED,MLBAM 621408
594792,,UNRESOLVED,MLBAM 594792
429717,Dan Haren,T2_des,Dan Haren
453385,Clayton Richard,T2_des,Clayton Richard
605218,Carl Edwards,T2_des,Carl Edwards
475243,,UNRESOLVED,MLBAM 475243
502239,Trevor Cahill,T2_des,Trevor Cahill
518748,,UNRESOLVED,MLBAM 518748
444468,,UNRESOLVED,MLBAM 444468
467008,Pedro Strop,T2_des,Pedro Strop
573127,,UNRESOLVED,MLBAM 573127
453562,"Arrieta, Jake",T1_keyed,Jake Arrieta
543294,"Hendricks, Kyle",T1_keyed,Kyle Hendricks
407845,,UNRESOLVED,MLBAM 407845
502462,,UNRESOLVED,MLBAM 502462
592181,,UNRESOLVED,MLBAM 592181
446321,"Detwiler, Ross",T1_keyed,Ross Detwiler
593958,Eduardo Rodriguez,T2_des,Eduardo Rodriguez
543726,,UNRESOLVED,MLBAM 543726
547749,Junichi Tazawa,T2_des,Junichi Tazawa
489119,Wade Miley,T2_des,Wade Miley
523260,Joe Kelly,T2_des,Joe Kelly
466948,,UNRESOLVED,MLBAM 466948
468396,Alexi Ogando,T2_des,Alexi Ogando
518927,,UNRESOLVED,MLBAM 518927
598287,Noe Ramirez,T2_des,Noe Ramirez
