game_year,pitcher,role,role_used,V_role,displaced_pitcher,displaced_efc,cand_efc,delta_staff_score,delta_efs,name,displaced_name,board,cand_rank,archetype_tier,coverage,games,n,needle_rank
2025,660271,SP,SP,669.0,605400,39.0179,58.5418,3.1091,0.0,Shohei Ohtani,Aaron Nola,RANKED,1.0,RESULTS-ONLY,COMPLETE,14,291,1.0
2025,656302,SP,SP,669.0,605400,39.0179,58.1637,3.0489,0.0,Dylan Cease,Aaron Nola,RANKED,3.0,SHAPE-ONLY,PARTIAL,4,182,2.0
2026,695505,SP,SP,669.0,605400,39.0179,55.8745,2.6844,0.0,Chase Burns,Aaron Nola,RANKED,5.0,SHAPE-ONLY,PARTIAL,3,118,3.0
2025,686218,SP,SP,669.0,605400,39.0179,55.2318,2.582,0.0,Emmet Sheehan,Aaron Nola,RANKED,6.0,NOT ELITE,COMPLETE,15,536,4.0
2025,690953,SP,SP,669.0,605400,39.0179,55.2077,2.5782,0.0,Mick Abel,Aaron Nola,RANKED,7.0,SHAPE-ONLY,COMPLETE,8,235,5.0
2025,694973,SP,SP,669.0,605400,39.0179,54.8695,2.5243,0.0,Paul Skenes,Aaron Nola,RANKED,8.0,RESULTS-ONLY,PARTIAL,4,158,6.0
2025,642547,SP,SP,669.0,605400,39.0179,54.2234,2.4215,0.0,Freddy Peralta,Aaron Nola,RANKED,9.0,NOT ELITE,PARTIAL,6,160,7.0
2025,607192,SP,SP,669.0,605400,39.0179,54.0518,2.3941,0.0,Tyler Glasnow,Aaron Nola,RANKED,10.0,NOT ELITE,COMPLETE,18,524,8.0
2025,808967,SP,SP,669.0,605400,39.0179,53.6311,2.3271,0.0,Yoshinobu Yamamoto,Aaron Nola,RANKED,13.0,RESULTS-ONLY,COMPLETE,30,994,9.0
2025,669194,SP,SP,669.0,605400,39.0179,53.6047,2.3229,0.0,Ryne Nelson,Aaron Nola,RANKED,14.0,NOT ELITE,PARTIAL,8,197,10.0
2025,669160,SP,SP,669.0,605400,39.0179,51.8808,2.0484,0.0,Dustin May,Aaron Nola,RANKED,17.0,RESULTS-ONLY,COMPLETE,18,263,11.0
2025,592791,SP,SP,669.0,605400,39.0179,51.2772,1.9523,0.0,Jameson Taillon,Aaron Nola,RANKED,18.0,NOT ELITE,COMPLETE,6,220,12.0
2025,694477,SP,SP,669.0,605400,39.0179,51.0842,1.9215,0.0,Chad Patrick,Aaron Nola,RANKED,19.0,NOT ELITE,COMPLETE,15,263,13.0
2025,601713,SP,SP,669.0,605400,39.0179,51.044,1.9151,0.0,Nick Pivetta,Aaron Nola,RANKED,20.0,NOT ELITE,PARTIAL,5,163,14.0
2025,686752,SP,SP,669.0,605400,39.0179,50.9945,1.9073,0.0,Ryan Pepiot,Aaron Nola,RANKED,21.0,SHAPE-ONLY,COMPLETE,9,302,15.0
2025,434378,SP,SP,669.0,605400,39.0179,50.7467,1.8678,0.0,Justin Verlander,Aaron Nola,RANKED,22.0,NOT ELITE,COMPLETE,8,246,16.0
2025,686701,SP,SP,669.0,605400,39.0179,50.6256,1.8485,0.0,Ryan Bergert,Aaron Nola,RANKED,23.0,NOT ELITE,PARTIAL,3,100,17.0
2025,694297,SP,SP,669.0,605400,39.0179,50.4439,1.8196,0.0,Brandon Pfaadt,Aaron Nola,RANKED,25.0,NOT ELITE,PARTIAL,7,120,18.0
2025,656629,RP,RP,241.0,670950,43.9178,58.5042,0.8368,0.0,Michael Kopech,Trevor Richards,RANKED,2.0,SHAPE-ONLY,COMPLETE,14,191,19.0
2025,676508,RP,RP,241.0,670950,43.9178,57.3748,0.772,0.0574,Ben Casparius,Trevor Richards,RANKED,4.0,ELITE,COMPLETE,43,384,20.0
2025,694361,RP,RP,241.0,670950,43.9178,53.8411,0.5693,0.0,Will Klein,Trevor Richards,RANKED,11.0,NOT ELITE,COMPLETE,14,175,21.0
2025,664747,RP,RP,241.0,670950,43.9178,53.7128,0.5619,0.0,Alexis Díaz,Trevor Richards,RANKED,12.0,NOT ELITE,COMPLETE,10,105,22.0
2025,489446,RP,RP,241.0,670950,43.9178,52.8674,0.5134,0.0,Kirby Yates,Trevor Richards,RANKED,15.0,RESULTS-ONLY,COMPLETE,49,440,23.0
