source_file,rows,pitchers,batters,pitcher_keyed,level,y0,y1
abel,707,1,60,True,MiLB,2025,2025
adolis,12676,774,1,False,MLB,2018,2025
alcantara,13982,1,539,True,MLB,2017,2025
alfaro,4364,439,1,False,MLB,2019,2023
allard,4208,1,306,True,MLB,2018,2023
alvarado,2328,1,282,True,MLB,2017,2020
anderson,14941,1,669,True,MLB,2015,2023
arraez,15481,919,1,False,MLB,2019,2026
backhus,430,1,91,True,MLB,2025,2025
bader,11598,867,1,False,MLB,2017,2025
banks,2686,1,332,True,MLB,2022,2024
bdlc,7348,585,1,False,MLB,2021,2025
bdodgers,24925,388,25,False,MLB,2025,2025
bellatti,429,1,92,True,MLB,2015,2021
berroa,215,37,1,False,MLB,2024,2025
bowlan,851,1,153,True,MLB,2023,2025
buehler,14909,1,648,True,MLB,2017,2025
carlos_hernandez,4535,1,415,True,MLB,2020,2024
castellanos,14674,804,1,False,MLB,2015,2021
castro,2306,262,1,False,MLB,2021,2023
cave,4126,371,1,False,MLB,2018,2022
chadpatrick,959,1,106,True,MLB,2025,2025
chst25,187,1,43,True,MLB,2025,2025
clearwater_batting25,17516,215,41,False,MiLB,2025,2025
clearwater_pitching25,18174,46,172,True,MiLB,2025,2025
clemens,509,80,1,False,MLB,2022,2022
clwo26,17594,254,46,False,MiLB,2026,2026
clwp26,18286,50,187,True,MiLB,2026,2026
cortes,10316,1,506,True,MLB,2018,2025
covey,4509,1,318,True,MLB,2017,2023
crawford,10655,650,1,False,MLB,2019,2023
curet,626,1,67,True,MiLB,2025,2025
dahl,4789,445,1,False,MLB,2016,2023
de_geus,1152,1,224,True,MLB,2021,2025
derek_hill,2636,359,1,False,MLB,2020,2026
diekman,7550,1,635,True,MLB,2015,2023
dmoore,8114,664,1,False,MLB,2019,2025
duran,3743,1,414,True,MLB,2022,2025
edmundo,1688,237,1,False,MLB,2018,2022
eflin,2652,1,229,True,MLB,2023,2023
eickhoff,440,1,48,True,MLB,2021,2022
enyel,2084,1,295,True,MLB,2021,2023
estevez,6917,1,641,True,MLB,2016,2024
ferrer,1276,1,220,True,MLB,2023,2025
flyballs-citi-field-similar-to-dhill-robberinho,37,32,28,True,MLB,2016,2026
franco,3828,407,1,False,MLB,2020,2022
giants-of-rangers-of-24,3966,65,481,False,MLB,2024,2024
giles,3954,1,399,True,MLB,2016,2022
