game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier
2026,694819,Jacob Misiorowski,False,False,False,VS_PHI,PARTIAL,SP,95.0,1,69,40,17,0.7263,True,False,101.6681,14.8852,2617.7826,7.6319,-12.3113,0.575,6.5493,0.0439,101.6681,14.8852,2617.7826,0.364,0.0831,80.0,45.0,70.0,80.0,60.0,2.9785,-0.3464,2.1687,2.9549,0.8974,65.0,70.0,66.0027,69.2618,True,True,True,70.0,67.6323,ELITE
2020,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,75.0,8,323,138,66,0.5383,False,True,96.8176,19.2825,2546.0093,6.3402,-5.2042,0.2609,3.6972,0.2003,97.8002,19.2825,2595.5506,0.2472,0.5958,60.0,65.0,70.0,55.0,70.0,1.134,1.6435,2.0045,0.626,2.2088,65.0,65.0,65.94,64.174,True,True,True,65.0,65.057,ELITE
2026,680742,Jonathan Bowlan,True,True,True,PHI,COMPLETE,RP,17.0,59,467,243,94,0.4829,False,True,97.0388,18.0331,2410.6338,6.6559,-7.875,0.3704,2.2711,0.1932,97.0388,18.0331,2410.6338,0.341,0.4543,60.0,60.0,55.0,75.0,70.0,0.7709,1.0781,0.6386,2.4952,1.8469,60.0,75.0,58.2922,71.7104,True,True,True,70.0,65.0013,ELITE
2018,434378,Justin Verlander,False,False,False,INCIDENTAL,PARTIAL,UNK,,6,50,34,7,0.5495,True,False,95.168,20.4336,2633.38,5.974,-11.4144,0.4118,4.666,0.412,96.478,20.4336,2699.4351,0.2884,-0.1083,55.0,70.0,80.0,65.0,55.0,0.5035,2.1644,2.7718,1.4468,0.4077,70.0,60.0,68.1325,59.2729,True,True,True,65.0,63.7027,ELITE
2018,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,93.0,23,847,420,187,0.3898,False,True,96.2105,17.8558,2415.2373,6.1989,-3.7269,0.3048,1.4054,0.2748,97.5205,17.8558,2481.2924,0.294,0.4321,60.0,60.0,60.0,65.0,70.0,1.0006,0.9979,1.1605,1.5592,1.7902,60.0,70.0,60.5301,66.747,True,True,True,65.0,63.6386,ELITE
2022,675911,Spencer Strider,False,False,False,FILE,COMPLETE,SP,87.0,31,1525,797,329,0.6697,False,True,98.1629,17.7081,2342.6719,6.9259,-5.113,0.2773,1.345,0.2913,98.8179,17.7081,2375.6995,0.2731,0.6498,65.0,60.0,55.0,60.0,75.0,1.6193,0.9311,0.3806,1.1422,2.3469,60.0,70.0,59.7699,67.4455,True,True,True,65.0,63.6077,ELITE
2021,605447,Jordan Romano,False,False,False,FILE,COMPLETE,RP,17.0,62,642,322,135,0.6227,False,True,97.5894,18.1948,2389.9953,7.2128,-5.3224,0.2888,1.8537,0.2539,98.4082,18.1948,2431.2797,0.2777,0.4833,65.0,60.0,60.0,60.0,70.0,1.4239,1.1513,0.7911,1.2331,1.921,60.0,65.0,61.2211,65.7704,True,True,True,65.0,63.4958,ELITE
2019,621111,Walker Buehler,False,False,False,FILE,COMPLETE,SP,96.0,30,1505,710,328,0.5303,False,True,96.5393,17.5968,2456.2326,6.2841,-4.7991,0.2465,1.447,0.2823,97.6856,17.5968,2514.0307,0.2441,0.7037,60.0,60.0,65.0,55.0,75.0,1.0793,0.8807,1.4024,0.5634,2.4847,60.0,65.0,61.2079,65.2409,True,True,True,65.0,63.2244,ELITE
2023,554430,Zack Wheeler,True,True,True,PHI,COMPLETE,SP,100.0,32,1370,720,197,0.4342,False,True,95.7924,15.2826,2494.5292,7.2536,-6.2933,0.3139,1.2071,0.3501,96.2837,15.2826,2519.2998,0.3066,0.5288,55.0,50.0,65.0,70.0,70.0,0.4108,-0.1666,1.4413,1.8108,2.0375,55.0,70.0,55.6183,69.2417,False,True,False,65.0,62.43,RESULTS-ONLY
2020,594798,Jacob deGrom,False,False,False,VS_PHI,PARTIAL,SP,74.0,5,84,45,10,0.4693,True,False,98.6726,16.7829,2457.5714,6.9357,-7.36,0.4889,-0.2774,0.3771,99.6551,16.7829,2507.1127,0.3361,-0.325,70.0,55.0,65.0,75.0,50.0,2.0186,0.5123,1.3513,2.3988,-0.1463,65.0,65.0,62.9406,61.2627,True,True,True,65.0,62.1016,ELITE
2022,622098,Drew Smith,False,False,False,VS_PHI,PARTIAL,RP,15.0,13,69,37,5,0.4894,True,False,96.0362,19.7009,2497.9275,5.871,-6.5304,0.4595,2.3986,0.4674,96.6912,19.7009,2530.9551,0.3113,-0.1654,55.0,70.0,65.0,70.0,55.0,0.6052,1.8328,1.5274,1.904,0.2619,65.0,65.0,63.2179,60.8292,True,True,True,65.0,62.0236,ELITE
2024,656546,Jeff Hoffman,False,False,True,PHI,COMPLETE,RP,14.0,66,391,211,114,0.3906,False,True,96.646,17.0863,2592.892,6.5794,-12.2007,0.3081,1.3524,0.3188,96.9735,17.0863,2609.4058,0.2882,0.1171,55.0,55.0,70.0,65.0,60.0,0.7398,0.6497,2.1069,1.4436,0.9844,60.0,65.0,61.6544,62.1398,True,True,True,65.0,61.8971,ELITE
2020,605447,Jordan Romano,False,False,False,FILE,COMPLETE,RP,17.0,15,95,42,21,0.4008,True,False,96.5368,17.3078,2331.4316,7.4116,-5.8396,0.5238,3.5821,0.1915,97.5194,17.3078,2380.9729,0.3464,-0.0134,60.0,55.0,55.0,75.0,55.0,1.0001,0.7499,0.4195,2.6038,0.6505,55.0,65.0,57.2317,66.2715,False,True,False,60.0,61.7516,RESULTS-ONLY
2024,656629,Michael Kopech,False,False,False,VS_PHI,PARTIAL,RP,15.0,10,56,28,13,0.8,True,False,99.175,18.6471,2667.7321,6.7768,-9.9921,0.2857,3.1143,0.0984,99.5025,18.6471,2684.2459,0.2376,-0.1595,70.0,65.0,75.0,55.0,55.0,1.9458,1.356,2.6597,0.4347,0.277,70.0,55.0,69.8714,53.5584,True,False,False,65.0,61.7149,SHAPE-ONLY
2025,695505,Chase Burns,False,False,False,INCIDENTAL,PARTIAL,SP,91.0,2,113,58,26,0.6209,False,True,98.5354,18.6584,2635.7257,6.4168,-4.2765,0.3276,0.223,0.3339,98.6992,18.6584,2643.9825,0.2715,-0.2766,65.0,65.0,75.0,60.0,50.0,1.5627,1.3611,2.3623,1.1111,-0.0225,70.0,55.0,67.6201,55.4434,True,False,False,65.0,61.5317,SHAPE-ONLY
2025,695243,Mason Miller,False,False,False,VS_PHI,PARTIAL,RP,21.0,7,55,31,14,0.5288,True,False,101.0927,17.1098,2548.6909,6.7309,-9.0218,0.4194,-1.2782,0.2989,101.2565,17.1098,2556.9478,0.2868,-0.3745,80.0,55.0,65.0,65.0,45.0,2.7822,0.6603,1.7194,1.416,-0.273,65.0,55.0,67.2063,55.7146,True,False,False,60.0,61.4604,SHAPE-ONLY
