pitcher,name,role,n,n_phi,thin,velo,ivb_in,spin,whiff_rate,rv100,shape_grade,results_grade,ff_elite_composite,efc_score,archetype_tier,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag
680742,Jonathan Bowlan,RP,467,467,False,97.0388,18.0331,2410.6338,0.3704,2.2711,60.0,75.0,70.0,65.0013,ELITE,True,True,True
661395,Jhoan Duran,RP,241,241,False,100.4386,13.2901,2075.7718,0.4341,3.2531,50.0,75.0,65.0,60.4263,RESULTS-ONLY,False,True,False
686934,Alex McFarlane,RP,94,94,True,99.9606,14.9209,2572.8617,0.3019,1.3394,60.0,55.0,60.0,58.6078,SHAPE-ONLY,True,False,False
554430,Zack Wheeler,SP,877,877,False,95.2166,14.0826,2432.7948,0.3032,0.9363,50.0,65.0,60.0,57.071,RESULTS-ONLY,False,True,False
686751,Seth Johnson,RP,154,154,False,97.9292,17.4226,2391.1948,0.3333,-0.6396,60.0,55.0,60.0,56.6987,SHAPE-ONLY,True,False,False
689147,Orion Kerkering,RP,372,372,False,97.1487,15.9132,2348.5134,0.327,0.0694,55.0,60.0,60.0,56.2003,RESULTS-ONLY,False,True,False
668873,Caleb Kilian,RP,392,31,False,96.8033,15.6986,2380.2015,0.1907,0.9985,55.0,50.0,55.0,52.694,NOT ELITE,False,False,False
641745,Brad Keller,RP,170,170,False,96.9794,14.5828,2400.9882,0.2143,-2.9718,50.0,45.0,50.0,48.6056,NOT ELITE,False,False,False
663767,Chase Shugart,RP,81,81,True,96.0593,15.9037,2148.963,0.2667,-1.5556,45.0,50.0,50.0,48.4168,NOT ELITE,False,False,False
660604,Alan Rangel,SP,168,168,False,92.9226,19.5936,2279.875,0.0899,-0.075,50.0,45.0,50.0,46.3782,NOT ELITE,False,False,False
691725,Andrew Painter,SP,665,665,False,96.6024,16.5954,2315.585,0.1601,-1.9632,55.0,40.0,50.0,44.7914,NOT ELITE,False,False,False
670950,Trevor Richards,RP,101,47,False,92.1574,20.1006,2272.8119,0.0286,-1.4158,50.0,40.0,45.0,43.9178,NOT ELITE,False,False,False
605400,Aaron Nola,SP,673,673,False,92.3092,14.5512,2356.5988,0.135,-2.0954,45.0,35.0,40.0,39.0179,NOT ELITE,False,False,False
592836,Taijuan Walker,SP,42,42,True,91.9,17.0171,2082.7857,0.0,-14.8643,,,,,NOT GRADED,False,False,False
642152,Lou Trivino,RP,5,5,True,94.0,13.128,1966.8,0.0,-24.38,,,,,NOT GRADED,False,False,False
662144,Brian Keller,RP,11,11,True,92.1182,14.8145,2191.3636,0.1667,2.1,,,,,NOT GRADED,False,False,False
664353,José Urquidy,SP,10,10,True,92.56,19.008,2329.0,0.2857,2.14,,,,,NOT GRADED,False,False,False
669060,Bryse Wilson,RP,3,2,True,93.3667,16.28,2202.3333,0.0,-16.8667,,,,,NOT GRADED,False,False,False
676510,Nolan Hoffman,RP,28,28,True,93.8107,6.3043,2465.2143,0.0769,-0.4286,,,,,NOT GRADED,False,False,False
676661,Max Lazar,RP,46,46,True,94.5696,17.6817,2443.5217,0.0417,-8.963,,,,,NOT GRADED,False,False,False
680880,Grant Holman,RP,17,17,True,94.8824,15.4376,1964.8235,0.1429,-8.6588,,,,,NOT GRADED,False,False,False
