game_pk,game_date,game_year,home_team,away_team,bat_score,fld_score,pitcher_days_since_prev_game,pitches,inn_first,inn_last,batters,runs_created,ff_n,ff_velo,ff_max,entry_inning,entry_outs,entry_runners,entry_lead,multi_inning,rest_days,back_to_back,close_late
778152,2025-04-27,2025,KC,HOU,7,2,,20,8,9,6,0,2,95.95,96.5,8,0,0,-5,True,,,False
777836,2025-05-20,2025,SF,KC,3,1,23.0,14,7,8,5,0,6,96.10000000000001,96.6,7,1,1,-2,True,23.0,False,True
777819,2025-05-21,2025,SF,KC,0,3,1.0,26,2,3,6,1,12,96.64166666666667,97.8,2,2,2,3,True,1.0,True,False
777772,2025-05-25,2025,MIN,KC,1,1,4.0,14,8,8,3,0,7,96.04285714285713,97.1,8,0,0,0,False,4.0,False,True
777750,2025-05-27,2025,KC,CIN,1,2,2.0,17,3,4,5,1,9,95.02222222222223,95.7,3,2,1,1,True,2.0,False,False
777711,2025-05-30,2025,KC,DET,4,3,3.0,23,5,6,6,1,6,96.36666666666667,97.4,5,2,2,-1,True,3.0,False,False
777677,2025-06-01,2025,KC,DET,1,0,2.0,14,9,9,3,0,5,96.1,96.9,9,2,0,-1,False,2.0,False,True
777642,2025-06-05,2025,STL,KC,4,4,4.0,14,9,9,3,0,6,96.56666666666666,97.5,9,0,0,0,False,4.0,False,True
777618,2025-06-06,2025,CWS,KC,2,2,1.0,38,7,8,10,2,8,95.4375,96.6,7,1,1,0,True,1.0,True,True
777551,2025-06-11,2025,KC,NYY,5,0,5.0,29,5,6,6,0,7,94.75714285714285,95.6,5,1,1,-5,True,5.0,False,False
777511,2025-06-14,2025,KC,ATH,4,0,3.0,14,7,8,4,0,1,97.1,97.1,7,2,1,-4,True,3.0,False,False
777468,2025-06-17,2025,TEX,KC,1,6,3.0,17,7,7,3,0,7,95.54285714285713,96.1,7,0,0,5,False,3.0,False,False
777204,2025-07-07,2025,KC,PIT,2,9,20.0,21,9,9,5,1,7,95.58571428571429,95.9,9,0,0,7,False,20.0,False,False
777136,2025-07-12,2025,KC,NYM,0,0,5.0,45,2,4,13,2,10,96.03999999999999,97.1,2,0,0,0,True,5.0,False,False
777109,2025-07-18,2025,MIA,KC,5,4,6.0,10,8,8,3,0,3,95.93333333333334,96.3,8,0,0,-1,False,6.0,False,True
777047,2025-07-22,2025,CHC,KC,3,0,4.0,27,6,7,8,2,4,96.025,96.3,6,0,0,-3,True,4.0,False,False
776990,2025-07-26,2025,KC,CLE,4,2,4.0,48,3,5,12,2,18,95.11666666666666,96.5,3,2,1,-2,True,4.0,False,False
776971,2025-07-28,2025,KC,ATL,9,4,2.0,15,9,9,6,1,6,95.38333333333333,96.5,9,0,0,-5,False,2.0,False,False
776936,2025-07-30,2025,KC,ATL,0,0,2.0,33,2,3,7,0,7,97.2,98.5,2,0,1,0,True,2.0,False,False
776615,2025-08-24,2025,DET,KC,8,10,25.0,7,8,8,3,0,3,96.76666666666667,97.1,8,0,0,2,False,25.0,False,True
776569,2025-08-27,2025,CWS,KC,1,11,3.0,16,7,7,4,0,10,94.58,95.5,7,0,0,10,False,3.0,False,False
776540,2025-08-29,2025,KC,DET,4,3,2.0,25,4,5,5,0,10,95.65,97.4,4,1,1,-1,True,2.0,False,False
776512,2025-08-31,2025,KC,DET,4,0,2.0,20,7,7,4,0,3,95.83333333333333,96.1,7,0,1,-4,False,2.0,False,False
776466,2025-09-03,2025,KC,LAA,3,2,3.0,10,7,7,3,0,5,94.92,96.5,7,0,0,-1,False,3.0,False,True
776463,2025-09-04,2025,KC,LAA,3,2,1.0,31,6,7,7,0,13,94.87692307692308,95.8,6,0,0,-1,True,1.0,True,False
776413,2025-09-08,2025,CLE,KC,9,0,4.0,20,6,6,4,0,13,95.24615384615385,96.4,6,0,0,-9,False,4.0,False,False
776382,2025-09-10,2025,CLE,KC,0,1,2.0,36,1,2,9,2,17,94.49411764705883,96.2,1,0,0,1,True,2.0,False,False
776342,2025-09-13,2025,PHI,KC,6,4,3.0,19,6,6,5,1,6,96.10000000000001,96.9,6,0,0,-2,False,3.0,False,False
776302,2025-09-16,2025,KC,SEA,10,5,3.0,24,9,9,5,2,7,95.8,97.0,9,0,0,-5,False,3.0,False,False
776289,2025-09-17,2025,KC,SEA,2,3,1.0,13,4,4,3,0,5,94.94,95.5,4,2,0,1,False,1.0,True,False
776229,2025-09-21,2025,KC,TOR,6,5,4.0,16,7,7,4,0,7,95.41428571428571,96.3,7,0,0,-1,False,4.0,False,True
776197,2025-09-24,2025,LAA,KC,3,2,3.0,35,7,8,8,0,11,95.43636363636364,97.5,7,0,0,-1,True,3.0,False,True
776172,2025-09-26,2025,ATH,KC,3,3,2.0,10,7,7,3,0,1,94.5,94.5,7,0,0,0,False,2.0,False,True
776154,2025-09-27,2025,ATH,KC,2,3,1.0,6,8,8,1,0,1,94.1,94.1,8,1,1,1,False,1.0,True,True
823486,2026-03-26,2026,PHI,TEX,0,5,,8,7,7,4,0,4,97.95,98.5,7,0,0,5,False,,,False
823484,2026-03-30,2026,PHI,WSH,7,0,4.0,26,5,6,7,2,12,97.5,98.9,5,2,1,-7,True,4.0,False,False
823483,2026-04-01,2026,PHI,WSH,1,1,2.0,17,6,6,4,1,9,97.27777777777777,98.5,6,1,0,0,False,2.0,False,False
