game_year,pitch_type,pitch_name,n,velo,spin,pfx_z,pfx_x,ext,plate_z,swings,whiffs,ooz,chases,in_zone,rv100,total,usage,ivb_in,hb_in,whiff_rate,chase_rate,zone_rate,xwobacon,xwobacon_bip
2023,SL,Slider,23,85.71739130434783,2469.6521739130435,0.15,0.21347826086956523,6.51304347826087,1.5421739130434782,13,7,11,4,12,1.8086956521739133,56,0.4107142857142857,1.7999999999999998,2.5617391304347827,0.5384615384615384,0.36363636363636365,0.5217391304347826,0.493,2
2023,FF,4-Seam Fastball,22,94.85454545454546,2153.6363636363635,1.4318181818181819,-0.5213636363636364,6.527272727272727,2.733636363636364,13,3,9,1,13,-0.5863636363636371,56,0.39285714285714285,17.181818181818183,-6.256363636363636,0.23076923076923078,0.1111111111111111,0.5909090909090909,0.342,6
2023,SI,Sinker,7,94.74285714285715,1946.7142857142858,0.9514285714285714,-1.0771428571428572,6.528571428571429,2.5685714285714285,4,0,4,1,3,-4.042857142857144,56,0.125,11.417142857142856,-12.925714285714285,0.0,0.25,0.42857142857142855,0.488,2
2023,CH,Changeup,3,87.3,1551.6666666666667,0.8166666666666668,-1.25,6.599999999999999,2.39,2,0,1,0,2,2.4000000000000004,56,0.05357142857142857,9.8,-15.0,0.0,0.0,0.6666666666666666,,
2023,CU,Curveball,1,76.7,2392.0,-0.7,0.59,6.5,1.94,1,0,0,0,1,-35.699999999999996,56,0.017857142857142856,-8.399999999999999,7.08,0.0,,1.0,0.903,1
2024,FF,4-Seam Fastball,29,95.58965517241379,2248.4827586206898,1.5644827586206895,-0.6624137931034483,6.672413793103448,2.9489655172413793,17,6,15,5,14,-4.310344827586207,68,0.4264705882352941,18.773793103448273,-7.94896551724138,0.35294117647058826,0.3333333333333333,0.4827586206896552,0.559,3
2024,SI,Sinker,14,95.15714285714286,2166.285714285714,1.1242857142857143,-1.0835714285714286,6.707142857142857,2.412857142857143,4,1,5,1,9,-10.714285714285714,68,0.20588235294117646,13.491428571428571,-13.002857142857144,0.25,0.2,0.6428571428571429,0.275,3
2024,SL,Slider,13,85.95384615384616,2523.4615384615386,0.1846153846153846,0.20384615384615384,6.561538461538461,1.716923076923077,7,2,7,3,6,-15.27692307692308,68,0.19117647058823528,2.215384615384615,2.4461538461538463,0.2857142857142857,0.42857142857142855,0.46153846153846156,0.532,3
2024,CU,Curveball,9,84.03333333333333,2464.3333333333335,-0.5144444444444445,1.1488888888888888,6.644444444444444,1.001111111111111,2,1,7,1,2,3.7111111111111117,68,0.1323529411764706,-6.173333333333334,13.786666666666665,0.5,0.14285714285714285,0.2222222222222222,0.404,1
2024,CH,Changeup,3,87.93333333333334,1381.3333333333333,0.42,-1.2266666666666666,6.733333333333333,2.2933333333333334,2,0,2,1,1,6.233333333333333,68,0.04411764705882353,5.04,-14.719999999999999,0.0,0.5,0.3333333333333333,0.057,1
