game_year,stand,pitch_type,pitch_name,n,velo,spin,pfx_z,pfx_x,ext,plate_z,swings,whiffs,ooz,chases,in_zone,rv100,total,usage,ivb_in,hb_in,whiff_rate,chase_rate,zone_rate,xwobacon,xwobacon_bip
2025,L,FF,4-Seam Fastball,149,95.47583892617449,2349.55033557047,1.4880536912751678,-0.6936912751677853,6.689261744966443,3.1308724832214767,83,35,73,30,76,0.8892617449664433,349,0.4269340974212034,17.856644295302015,-8.324295302013423,0.42168674698795183,0.410958904109589,0.5100671140939598,0.595,13
2025,L,SL,Slider,66,85.8469696969697,2484.6969696969695,-0.0603030303030303,0.2693939393939394,6.618181818181818,1.7221212121212122,34,12,42,14,24,-4.272727272727273,349,0.18911174785100288,-0.7236363636363636,3.232727272727273,0.35294117647058826,0.3333333333333333,0.36363636363636365,0.609,13
2025,L,CH,Changeup,54,88.27962962962964,1516.0740740740741,0.38999999999999996,-1.036851851851852,6.70925925925926,2.102222222222222,24,3,31,6,23,-3.2,349,0.15472779369627507,4.68,-12.442222222222224,0.125,0.1935483870967742,0.42592592592592593,0.364,15
2025,L,CU,Curveball,54,81.02592592592592,2400.9444444444443,-0.5944444444444444,1.0355555555555556,6.475925925925925,1.862037037037037,14,2,37,6,17,-0.6296296296296299,349,0.15472779369627507,-7.133333333333333,12.426666666666666,0.14285714285714285,0.16216216216216217,0.3148148148148148,0.345,8
2025,L,SI,Sinker,26,95.46153846153847,2178.346153846154,1.0834615384615385,-1.1284615384615384,6.6923076923076925,2.474615384615385,13,3,15,4,11,1.7692307692307694,349,0.07449856733524356,13.001538461538463,-13.541538461538462,0.23076923076923078,0.26666666666666666,0.4230769230769231,0.129,3
2025,R,SL,Slider,161,85.82298136645963,2490.577639751553,-0.09639751552795031,0.288944099378882,6.64472049689441,1.8869565217391304,78,33,91,35,70,2.708695652173913,378,0.42592592592592593,-1.1567701863354038,3.467329192546584,0.4230769230769231,0.38461538461538464,0.43478260869565216,0.361,27
2025,R,SI,Sinker,100,96.307,2236.11,1.0318,-1.1767,6.702999999999999,2.3527,55,9,44,15,56,4.9110000000000005,378,0.26455026455026454,12.3816,-14.1204,0.16363636363636364,0.3409090909090909,0.56,0.195,25
2025,R,FF,4-Seam Fastball,94,95.61382978723405,2338.3617021276596,1.4480851063829787,-0.6167021276595744,6.675531914893617,3.2388297872340424,41,19,54,14,40,-1.1276595744680853,378,0.24867724867724866,17.377021276595745,-7.400425531914893,0.4634146341463415,0.25925925925925924,0.425531914893617,0.23,9
2025,R,CU,Curveball,16,80.9,2413.1875,-0.605625,0.9662499999999999,6.425,2.3475,4,1,12,2,4,3.5875000000000004,378,0.042328042328042326,-7.2675,11.594999999999999,0.25,0.16666666666666666,0.25,0.186,3
2025,R,CH,Changeup,7,88.91428571428571,1544.857142857143,0.3614285714285714,-1.0285714285714287,6.7,1.9957142857142858,4,1,2,0,5,-5.0428571428571445,378,0.018518518518518517,4.337142857142856,-12.342857142857145,0.25,0.0,0.7142857142857143,0.915,1
2026,L,FF,4-Seam Fastball,314,97.00732484076433,2406.0732484076434,1.5069108280254777,-0.6797133757961784,6.656687898089172,3.0784324186156593,168,58,157,61,157,2.9503184713375794,532,0.5902255639097744,18.08292993630573,-8.15656050955414,0.34523809523809523,0.3885350318471338,0.5,0.317,29
2026,L,CH,Changeup,120,90.46666666666667,1568.5833333333333,0.4384166666666667,-1.0064166666666667,6.703333333333333,2.190361279626303,64,17,67,21,53,-0.6391666666666667,532,0.22556390977443608,5.261,-12.077000000000002,0.265625,0.31343283582089554,0.44166666666666665,0.324,30
2026,L,SL,Slider,82,86.66707317073171,2468.6463414634145,-0.10451219512195123,0.2076829268292683,6.635365853658537,1.5552949342302642,39,12,50,18,32,-0.14146341463414636,532,0.15413533834586465,-1.2541463414634149,2.4921951219512195,0.3076923076923077,0.36,0.3902439024390244,0.241,14
2026,L,CU,Curveball,8,82.3625,2517.625,-0.89125,0.49374999999999997,6.45,0.9853014099931168,2,0,6,1,2,-12.9,532,0.015037593984962405,-10.695,5.925,0.0,0.16666666666666666,0.25,0.116,1
2026,L,ST,Sweeper,6,84.48333333333333,2638.0,-0.16333333333333333,1.2583333333333333,6.5,0.9433466114396376,1,0,4,0,2,-1.4000000000000001,532,0.011278195488721804,-1.96,15.1,0.0,0.0,0.3333333333333333,,
2026,L,SI,Sinker,2,96.9,2132.0,0.895,-1.34,6.65,2.1037775500177593,1,0,1,0,1,0.1499999999999998,532,0.0037593984962406013,10.74,-16.080000000000002,0.0,0.0,0.5,,
2026,R,FF,4-Seam Fastball,153,97.1032679738562,2419.9934640522874,1.4942483660130719,-0.6081045751633988,6.654248366013072,3.164326335659728,75,32,82,29,71,0.8771241830065359,435,0.35172413793103446,17.93098039215686,-7.297254901960786,0.4266666666666667,0.35365853658536583,0.46405228758169936,0.332,10
2026,R,SI,Sinker,107,97.14672897196262,2302.308411214953,1.0457009345794392,-1.267289719626168,6.709345794392523,2.3516477602966344,54,3,52,24,55,-1.4448598130841122,435,0.24597701149425288,12.548411214953271,-15.207476635514016,0.05555555555555555,0.46153846153846156,0.514018691588785,0.393,25
2026,R,SL,Slider,97,86.92577319587627,2504.134020618557,-0.14185567010309277,0.20020618556701034,6.632989690721649,1.6435597252387615,51,19,56,20,41,-0.7762886597938147,435,0.22298850574712645,-1.7022680412371134,2.402474226804124,0.37254901960784315,0.35714285714285715,0.422680412371134,0.343,18
2026,R,ST,Sweeper,71,84.70704225352112,2588.56338028169,-0.11816901408450706,1.2545070422535212,6.5,1.732784813369014,25,7,50,11,21,-6.495774647887324,435,0.1632183908045977,-1.4180281690140846,15.054084507042255,0.28,0.22,0.29577464788732394,0.492,10
2026,R,CH,Changeup,6,90.64999999999999,1652.1666666666667,0.5333333333333333,-0.9883333333333333,6.733333333333333,1.9222978778675206,3,3,4,1,2,12.716666666666669,435,0.013793103448275862,6.4,-11.86,1.0,0.25,0.3333333333333333,,
