through,games,plate_apps,woba
2026-03-26,1,4,0.222
2026-03-30,2,11,0.357
2026-04-01,3,15,0.381
2026-04-06,4,18,0.317
2026-04-08,5,22,0.3
2026-04-10,6,26,0.254
2026-04-12,7,30,0.273
2026-04-30,8,35,0.3
2026-05-01,9,40,0.324
2026-05-07,10,43,0.301
2026-05-08,11,49,0.283
2026-05-10,12,52,0.266
2026-05-15,13,58,0.27
2026-05-17,14,62,0.266
2026-05-19,15,66,0.261
2026-05-24,16,70,0.275
2026-05-27,17,73,0.264
2026-06-05,18,78,0.27
2026-06-07,19,84,0.261
2026-06-10,20,85,0.258
2026-06-15,21,90,0.254
2026-06-17,22,94,0.243
2026-06-21,23,95,0.24
2026-06-23,24,96,0.238
2026-06-24,25,99,0.259
2026-06-27,26,103,0.264
2026-06-30,27,108,0.267
2026-07-02,28,113,0.271
2026-07-04,29,117,0.269
2026-07-07,30,118,0.267
2026-07-09,31,121,0.26
2026-07-11,32,125,0.263
2026-07-12,33,128,0.257
2026-07-16,34,131,0.256
2026-07-20,35,135,0.264
2026-07-21,36,138,0.258
2026-07-24,37,141,0.253
2026-07-25,38,145,0.254
2026-07-27,39,148,0.249
2026-07-29,40,153,0.259
2026-08-01,41,157,0.258
2026-08-05,42,161,0.256
2026-08-06,43,164,0.251
2026-08-08,44,167,0.247
2026-08-10,45,170,0.243
2026-08-13,46,174,0.242
2026-08-16,47,178,0.241
2026-08-17,48,185,0.252
2026-08-19,49,190,0.253
2026-08-25,50,194,0.252
2026-08-28,51,199,0.249
2026-08-29,52,203,0.254
2026-09-01,53,207,0.249
2026-09-02,54,211,0.254
2026-09-05,55,215,0.259
2026-09-09,56,220,0.263
2026-09-11,57,226,0.267
2026-09-15,58,229,0.273
2026-09-17,59,232,0.272
