game_year,count_state,pitch_type,n,share
2025,2K,CH,14,0.0625
2025,2K,CU,17,0.07589285714285714
2025,2K,FF,79,0.35267857142857145
2025,2K,SI,27,0.12053571428571429
2025,2K,SL,87,0.38839285714285715
2025,ahead,CH,15,0.15
2025,ahead,CU,8,0.08
2025,ahead,FF,31,0.31
2025,ahead,SI,11,0.11
2025,ahead,SL,35,0.35
2025,behind,CH,20,0.13245033112582782
2025,behind,CU,8,0.052980132450331126
2025,behind,FF,50,0.33112582781456956
2025,behind,SI,37,0.24503311258278146
2025,behind,SL,36,0.23841059602649006
2025,even,CH,12,0.047619047619047616
2025,even,CU,37,0.14682539682539683
2025,even,FF,83,0.32936507936507936
2025,even,SI,51,0.20238095238095238
2025,even,SL,69,0.27380952380952384
2026,2K,CH,34,0.10429447852760736
2026,2K,CU,3,0.009202453987730062
2026,2K,FF,171,0.5245398773006135
2026,2K,SI,10,0.03067484662576687
2026,2K,SL,74,0.22699386503067484
2026,2K,ST,34,0.10429447852760736
2026,ahead,CH,27,0.2288135593220339
2026,ahead,CU,1,0.00847457627118644
2026,ahead,FF,39,0.3305084745762712
2026,ahead,SI,23,0.19491525423728814
2026,ahead,SL,20,0.1694915254237288
2026,ahead,ST,8,0.06779661016949153
2026,behind,CH,24,0.125
2026,behind,FF,99,0.515625
2026,behind,SI,22,0.11458333333333333
2026,behind,SL,35,0.18229166666666666
2026,behind,ST,12,0.0625
2026,even,CH,41,0.12424242424242424
2026,even,CU,4,0.012121212121212121
2026,even,FF,158,0.47878787878787876
2026,even,SI,54,0.16363636363636364
2026,even,SL,50,0.15151515151515152
2026,even,ST,23,0.0696969696969697
