pitcher,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,name,whiff_rate,chase_rate
276542,2017,699,171,112.0,32.0,5.0,15.0,43.0,0.205,0.275,0.365,0.64,0.278,0.251,0.088,0.029,"Benoit, Joaquín",0.3108108108108108,0.322
421685,2015,2844,750,583.0,189.0,26.0,48.0,108.0,0.277,0.324,0.469,0.793,0.339,0.144,0.064,0.035,"Harang, Aaron",0.1701972242512783,0.285
425532,2015,1978,553,440.0,161.0,22.0,31.0,74.0,0.317,0.356,0.5,0.856,0.367,0.134,0.056,0.04,"Williams, Jerome",0.1993801652892562,0.334
429781,2015,421,114,92.0,37.0,4.0,8.0,14.0,0.363,0.395,0.578,0.973,0.409,0.123,0.07,0.035,"Correia, Kevin",0.15816326530612246,0.294
430661,2015,473,119,77.0,29.0,7.0,19.0,21.0,0.293,0.403,0.525,0.929,0.4,0.176,0.16,0.059,"McGowan, Dustin",0.25943396226415094,0.25
430935,2015,2105,537,355.0,113.0,12.0,36.0,137.0,0.233,0.289,0.348,0.636,0.28,0.255,0.067,0.022,"Hamels, Cole",0.2862488306828812,0.322
445213,2021,510,139,110.0,45.0,7.0,6.0,22.0,0.344,0.374,0.58,0.954,0.402,0.158,0.043,0.05,"Kintzler, Brandon",0.1581196581196581,0.246
449097,2015,575,160,108.0,31.0,3.0,7.0,40.0,0.211,0.262,0.327,0.589,0.259,0.25,0.044,0.019,"Papelbon, Jonathan",0.2848297213622291,0.388
450212,2017,602,148,98.0,28.0,2.0,5.0,45.0,0.199,0.223,0.277,0.5,0.216,0.304,0.034,0.014,"Neshek, Pat",0.26426426426426425,0.362
450212,2018,370,100,81.0,23.0,2.0,4.0,15.0,0.245,0.27,0.383,0.653,0.278,0.15,0.04,0.02,"Neshek, Pat",0.22580645161290322,0.327
450306,2019,959,249,177.0,60.0,7.0,24.0,43.0,0.284,0.357,0.45,0.808,0.34,0.173,0.096,0.028,"Vargas, Jason",0.2469437652811736,0.278
