pitch_type,pitch_name,count,release_speed,release_spin_rate,zone,pfx_x,plate_x,pfx_z,plate_z,usage,game_year,player_name
SL,Slider,23,85.7,2469.7,9.5,0.2,0.4,0.2,1.5,41.1,2023,"Bowlan, Jonathan"
FF,4-Seam Fastball,22,94.9,2153.6,8.1,-0.5,0.0,1.4,2.7,39.3,2023,"Bowlan, Jonathan"
SI,Sinker,7,94.7,1946.7,7.4,-1.1,-1.0,1.0,2.6,12.5,2023,"Bowlan, Jonathan"
CH,Changeup,3,87.3,1551.7,8.0,-1.2,-0.8,0.8,2.4,5.4,2023,"Bowlan, Jonathan"
CU,Curveball,1,76.7,2392.0,8.0,0.6,0.1,-0.7,1.9,1.8,2023,"Bowlan, Jonathan"
FF,4-Seam Fastball,29,95.6,2248.5,8.1,-0.7,-0.1,1.6,2.9,42.6,2024,"Bowlan, Jonathan"
SI,Sinker,14,95.2,2166.3,7.1,-1.1,-0.8,1.1,2.4,20.6,2024,"Bowlan, Jonathan"
SL,Slider,13,86.0,2523.5,10.2,0.2,0.2,0.2,1.7,19.1,2024,"Bowlan, Jonathan"
CU,Curveball,9,84.0,2464.3,12.0,1.1,0.8,-0.5,1.0,13.2,2024,"Bowlan, Jonathan"
CH,Changeup,3,87.9,1381.3,9.7,-1.2,-1.1,0.4,2.3,4.4,2024,"Bowlan, Jonathan"
FF,4-Seam Fastball,243,95.5,2345.2,8.1,-0.7,0.0,1.5,3.2,33.4,2025,"Bowlan, Jonathan"
SL,Slider,227,85.8,2488.9,10.5,0.3,0.5,-0.1,1.8,31.2,2025,"Bowlan, Jonathan"
SI,Sinker,126,96.1,2224.2,8.2,-1.2,-0.5,1.0,2.4,17.3,2025,"Bowlan, Jonathan"
CU,Curveball,70,81.0,2403.7,11.0,1.0,0.2,-0.6,2.0,9.6,2025,"Bowlan, Jonathan"
CH,Changeup,61,88.4,1519.4,9.2,-1.0,-0.7,0.4,2.1,8.4,2025,"Bowlan, Jonathan"
FF,4-Seam Fastball,467,97.0,2410.6,8.0,-0.7,0.1,1.5,3.1,48.3,2026,"Bowlan, Jonathan"
SL,Slider,179,86.8,2487.9,10.3,0.2,0.5,-0.1,1.6,18.5,2026,"Bowlan, Jonathan"
CH,Changeup,126,90.5,1572.6,9.3,-1.0,-0.5,0.4,2.2,13.0,2026,"Bowlan, Jonathan"
SI,Sinker,109,97.1,2299.2,8.3,-1.3,-0.5,1.0,2.3,11.3,2026,"Bowlan, Jonathan"
ST,Sweeper,77,84.7,2592.4,11.5,1.3,0.9,-0.1,1.7,8.0,2026,"Bowlan, Jonathan"
CU,Curveball,8,82.4,2517.6,11.2,0.5,-0.2,-0.9,1.0,0.8,2026,"Bowlan, Jonathan"
