game_year,n,ivb_mean,ivb_median
2015,6620,15.375716012084593,15.600000000000001
2016,6951,15.75955114372033,15.96
2017,8301,17.324992771084336,17.52
2018,7575,15.121321305386044,15.36
2019,6734,15.408630828630828,15.600000000000001
2020,2393,15.936230672795652,15.96
2021,7256,15.931719955898568,15.96
2022,5077,15.914406145361436,15.96
2023,4984,15.536364365971107,15.600000000000001
2024,4633,14.829881286423483,15.120000000000001
2025,4003,15.516572570572071,15.600000000000001
2026,4294,15.639655333022821,15.600000000000001
