pitcher,game_year,n,ivb_in,hb_in,velo,spin,name
421685,2015,995,17.9044824120603,-7.65081407035176,89.59718592964823,2348.531762295082,"Harang, Aaron"
425532,2015,331,12.581510574018125,-9.641691842900302,90.77643504531721,2146.691588785047,"Williams, Jerome"
430661,2015,243,17.075061728395063,-4.1792592592592595,94.44897119341563,2333.8702928870293,"McGowan, Dustin"
449097,2015,357,14.191932773109244,-13.457142857142857,91.71680672268909,2103.7797101449273,"Papelbon, Jonathan"
451532,2015,175,14.075657142857143,-3.242057142857143,91.72,2245.1337209302324,"Billingsley, Chad"
453178,2021,366,17.574426229508198,-10.84360655737705,93.85901639344263,2409.554644808743,"Kennedy, Ian"
453284,2019,168,15.78857142857143,-2.406428571428571,90.69583333333333,2137.6369047619046,"Parker, Blake"
453284,2020,130,16.98738461538462,-2.8596923076923075,90.59384615384616,1998.7846153846153,"Parker, Blake"
456696,2016,611,16.248707037643207,-10.743240589198036,94.6644844517185,2402.6930693069307,"Hernandez, David"
457711,2015,448,17.536875000000002,-9.065625,90.14308035714285,2032.7676056338028,"O'Sullivan, Sean"
457732,2016,370,16.035243243243244,2.774918918918919,92.63216216216216,2675.5151515151515,"Bailey, Andrew"
472610,2015,319,11.008025078369906,-4.195485893416928,96.14388714733543,2111.7594501718213,"García, Luis"
472610,2018,118,12.550526315789476,-8.917894736842106,97.13859649122806,2121.5789473684213,"García, Luis"
476451,2016,890,15.15950561797753,-12.808988764044944,90.6888764044944,2105.2806414662086,"Hellickson, Jeremy"
497807,2016,178,17.46202247191011,-10.515505617977526,94.0814606741573,2287.1853932584268,"Herrmann, Frank"
502043,2021,151,15.844768211920528,-5.215629139072847,92.48609271523179,2284.198675496689,"Gibson, Kyle"
502043,2022,327,15.953394495412844,-6.235229357798167,92.03302752293578,2278.9969418960245,"Gibson, Kyle"
502624,2021,280,17.615571428571428,-6.227142857142859,91.5032142857143,2119.727598566308,"Anderson, Chase"
